Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
100,F,0,Dead,Starvation / Exhaustion,4,67.26,0,3,-0.6128249561924779,2.021169425391493
61,F,1,Dead,Starvation / Exhaustion,4,15.41,0,3,-0.7193057884821923,2.025139143257678
170,F,0,Dead,Socio-Economic Disease Roll,9,77.40436873561237,90,1,-0.8087080838903408,1.6404813726574838
115,F,0,Dead,Socio-Economic Disease Roll,24,232.84,90,1,-0.8076749860916147,1.612838757432169
165,M,0,Dead,Socio-Economic Disease Roll,14,83.01,90,1,-0.8485339498026604,2.0642577671315707
179,M,0,Dead,Socio-Economic Disease Roll,25,69.42,90,1,-0.6136957370584487,1.606936774081499
68,M,1,Dead,Starvation / Exhaustion,4,15.36,0,3,-0.8083128885956194,2.025323522665639
95,M,0,Dead,Starvation / Exhaustion,4,17.86,0,3,-0.28483241312387214,1.7104536165636626
109,F,1,Dead,Socio-Economic Disease Roll,4,23.44,24,2,-1.0008479099992584,1.8427619571845506
18,M,6,Dead,Biological Limit (Old Age),26,190.34,30,2,-0.6038515996595171,1.758740640577576
46,F,0,Dead,Starvation / Exhaustion,4,35.33,0,3,-0.5899450021989887,2.428355619577277
71,F,2,Dead,Socio-Economic Disease Roll,16,23.3,10,3,-0.41974240737422597,2.871150502890036
110,F,1,Dead,Socio-Economic Disease Roll,25,202.22,60,1,-0.7201990262499152,2.2917683179368113
122,M,0,Dead,Socio-Economic Disease Roll,10,134.16,12,3,-0.8172011057494148,2.5820332870267615
43,F,0,Dead,Socio-Economic Disease Roll,12,53.15,9,3,-0.7130666428766286,2.6351282061848855
152,M,6,Dead,Socio-Economic Disease Roll,28,48.77,30,1,-0.6567412071420802,1.5647928385787946
181,M,0,Dead,Socio-Economic Disease Roll,16,93.85,90,1,-0.5404713966825869,1.729388742519869
1,F,0,Dead,Socio-Economic Disease Roll,16,70.88,13,3,-0.37093653756556944,2.8704043489344464
119,F,1,Dead,Biological Limit (Old Age),28,199.08,37,3,-0.9297853863472985,2.8119992143227712
85,M,0,Dead,Starvation / Exhaustion,15,-1.97,0,3,-0.4774449267569387,2.688411017395836
169,F,0,Dead,Socio-Economic Disease Roll,10,120.84,90,1,-0.7083615921593434,2.348984663757991
78,F,0,Dead,Starvation / Exhaustion,4,27.18,0,3,-0.5233355895229963,2.452870852372701
26,F,4,Dead,Biological Limit (Old Age),27,506.23,50,2,-0.520650810920502,1.679355915051458
56,F,3,Dead,Biological Limit (Old Age),29,273.49,30,2,-0.5549358049928069,1.7627070741859914
147,F,0,Dead,Socio-Economic Disease Roll,16,129.17,57,2,-0.5916504793456312,2.318066570952933
64,F,1,Dead,Starvation / Exhaustion,4,96.06,0,2,-0.6551589015034612,1.973595166120473
99,F,0,Dead,Socio-Economic Disease Roll,29,92.84,10,3,-0.9935006257952173,2.7425983768176456
14,F,4,Dead,Biological Limit (Old Age),26,360.75,30,3,-0.9815621704909382,1.9165706492067207
