Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Marital_Regime
29,M,0,Dead,Biological Limit (Old Age),62,6.45,65,None
49,M,7,Dead,Biological Limit (Old Age),62,24.92,45,None
43,M,0,Dead,Biological Limit (Old Age),62,122.43,65,None
60,F,0,Dead,Biological Limit (Old Age),62,108.39,65,None
61,M,0,Dead,Biological Limit (Old Age),62,120.9,65,None
63,M,0,Dead,Biological Limit (Old Age),62,-2.21,7,None
90,F,0,Dead,Biological Limit (Old Age),62,10.76,30,None
105,M,0,Dead,Biological Limit (Old Age),62,12.19,65,None
109,M,0,Dead,Biological Limit (Old Age),62,74.52,65,None
24,F,0,Dead,Biological Limit (Old Age),63,-6.26,1,None
42,F,0,Dead,Biological Limit (Old Age),63,46.46,55,None
15,M,3,Dead,Biological Limit (Old Age),64,86.71,45,None
41,M,0,Dead,Biological Limit (Old Age),64,96.85,45,None
84,F,0,Dead,Biological Limit (Old Age),64,133.88,45,None
18,F,0,Dead,Biological Limit (Old Age),65,34.45,55,None
99,M,2,Dead,Biological Limit (Old Age),66,65.75,75,None
